timestamp,predicted_direction,actual_future_direction,future_price_change_%,correct_prediction
2025-05-07 00:00:00+03:00,LONG,SHORT,-3.5,False
2025-05-07 01:00:00+03:00,LONG,SHORT,-2.78,False
2025-05-07 02:00:00+03:00,LONG,SHORT,-1.08,False
2025-05-07 03:00:00+03:00,SHORT,SHORT,-0.45,True
2025-05-07 04:00:00+03:00,SHORT,LONG,1.0,False
2025-05-07 05:00:00+03:00,SHORT,SHORT,0.11,True
2025-05-07 06:00:00+03:00,SHORT,SHORT,-0.24,True
2025-05-07 07:00:00+03:00,SHORT,SHORT,-0.12,True
2025-05-07 08:00:00+03:00,SHORT,SHORT,-0.8,True
2025-05-07 09:00:00+03:00,SHORT,SHORT,-0.53,True
2025-05-07 10:00:00+03:00,SHORT,SHORT,-0.37,True
2025-05-07 11:00:00+03:00,SHORT,SHORT,-0.05,True
2025-05-07 12:00:00+03:00,SHORT,SHORT,0.54,True
2025-05-07 13:00:00+03:00,SHORT,SHORT,0.55,True
2025-05-07 14:00:00+03:00,SHORT,SHORT,0.35,True
2025-05-07 15:00:00+03:00,SHORT,SHORT,0.59,True
2025-05-07 16:00:00+03:00,LONG,LONG,0.94,True
2025-05-07 17:00:00+03:00,LONG,LONG,1.4,True
2025-05-07 18:00:00+03:00,SHORT,LONG,0.87,False
2025-05-07 19:00:00+03:00,SHORT,SHORT,0.63,True
2025-05-07 20:00:00+03:00,SHORT,LONG,0.96,False
2025-05-07 21:00:00+03:00,SHORT,SHORT,-0.4,True
2025-05-07 22:00:00+03:00,SHORT,SHORT,-1.04,True
2025-05-07 23:00:00+03:00,SHORT,SHORT,-0.69,True
2025-05-08 00:00:00+03:00,SHORT,SHORT,-0.48,True
2025-05-08 01:00:00+03:00,LONG,SHORT,-0.73,False
2025-05-08 02:00:00+03:00,SHORT,SHORT,-0.91,True
2025-05-08 03:00:00+03:00,LONG,SHORT,-3.96,False
2025-05-08 04:00:00+03:00,LONG,SHORT,-3.88,False
