ema_fast,ema_slow,rsi_period,rsi_ob,rsi_os,macd_fast,macd_slow,macd_signal,vwap,score_threshold,prob_long,prob_short,method,accuracy,total
5,20,14,70,30,12,26,9,True,3,0.52,0.48,ml,50.43478260869565,690
5,20,14,70,30,12,26,9,True,4,0.52,0.48,ml,50.43478260869565,690
5,30,14,70,30,12,26,9,True,4,0.52,0.48,ml,50.43478260869565,690
5,30,14,70,30,12,26,9,True,3,0.52,0.48,ml,50.43478260869565,690
10,30,14,70,30,12,26,9,True,3,0.52,0.48,ml,50.43478260869565,690
10,30,14,70,30,12,26,9,True,4,0.52,0.48,ml,50.43478260869565,690
10,20,14,70,30,12,26,9,True,4,0.52,0.48,ml,50.43478260869565,690
10,20,14,70,30,12,26,9,True,3,0.52,0.48,ml,50.43478260869565,690
10,30,14,70,30,12,26,9,True,4,0.52,0.48,classic,48.69565217391305,690
10,20,14,70,30,12,26,9,True,4,0.52,0.48,classic,48.69565217391305,690
5,20,14,70,30,12,26,9,True,4,0.52,0.48,classic,48.69565217391305,690
5,30,14,70,30,12,26,9,True,4,0.52,0.48,classic,48.69565217391305,690
10,30,14,70,30,12,26,9,True,3,0.52,0.48,classic,37.2463768115942,690
10,20,14,70,30,12,26,9,True,3,0.52,0.48,classic,36.811594202898554,690
5,30,14,70,30,12,26,9,True,3,0.52,0.48,classic,36.52173913043478,690
5,20,14,70,30,12,26,9,True,3,0.52,0.48,classic,33.6231884057971,690
